MsgID.STATE,1521024548.8232663,False,False
MsgID.LOCAL_VELOCITY,1521024560.8050287,8.8900000,-0.0100000,-0.0800000
MsgID.LOCAL_POSITION,1521024560.8054078,49.2913895,-0.9172361,-4.9754496
MsgID.LOCAL_VELOCITY,1521024560.8054078,8.8995333,-0.0120822,-0.0862243
MsgID.STATE,1521024561.0230346,True,True
MsgID.GLOBAL_HOME,1521024561.0233512,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521024561.0546274,-122.3974592,37.7929412,4.9670000
MsgID.LOCAL_VELOCITY,1521024561.0546274,8.8800000,-0.0300000,-0.0300000
MsgID.LOCAL_POSITION,1521024561.0963793,51.2549133,-0.8239090,-4.9679661
MsgID.LOCAL_VELOCITY,1521024561.0963793,8.8850107,-0.0327025,-0.0333887
MsgID.GLOBAL_POSITION,1521024561.3055143,-122.3974596,37.7929626,4.9640000
MsgID.LOCAL_VELOCITY,1521024561.3055143,8.9100000,-0.0800000,-0.1900000
MsgID.LOCAL_POSITION,1521024561.3060246,53.6326561,-0.8575954,-4.9642978
MsgID.LOCAL_VELOCITY,1521024561.3060246,8.9156065,-0.0861340,-0.1988348
MsgID.GLOBAL_POSITION,1521024561.5542130,-122.3974619,37.7929825,4.9670000
MsgID.LOCAL_VELOCITY,1521024561.5542130,8.9000000,-0.1000000,-0.1800000
MsgID.LOCAL_POSITION,1521024561.5547636,55.8379059,-1.0584509,-4.9676566
MsgID.LOCAL_VELOCITY,1521024561.5547636,8.9003515,-0.1035419,-0.1829797
MsgID.GLOBAL_POSITION,1521024561.8054154,-122.3974626,37.7930055,4.9640000
MsgID.LOCAL_VELOCITY,1521024561.8054154,8.9000000,0.0000000,-0.2200000
MsgID.LOCAL_POSITION,1521024561.8056123,58.3894501,-1.1203246,-4.9643865
MsgID.LOCAL_VELOCITY,1521024561.8056123,8.9032812,-0.0032333,-0.2251171
MsgID.STATE,1521024562.0224929,True,True
MsgID.GLOBAL_HOME,1521024562.0230818,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521024562.0682204,-122.3974616,37.7930242,4.9660000
MsgID.LOCAL_VELOCITY,1521024562.0682204,8.8400000,0.0800000,-0.1900000
MsgID.LOCAL_POSITION,1521024562.0683982,60.4717941,-1.0382899,-4.9669890
MsgID.LOCAL_VELOCITY,1521024562.0683982,8.8455982,0.0834488,-0.1909005
MsgID.GLOBAL_POSITION,1521024562.3046930,-122.3974627,37.7930434,4.9770000
MsgID.LOCAL_VELOCITY,1521024562.3046930,7.6400000,0.0900000,-0.1000000
MsgID.LOCAL_POSITION,1521024562.3049090,62.6103935,-1.1326439,-4.9779539
